"especie","comprimento","peso","profundidade_maxima","volume_cranio"
"Cachalote",21,5220,159,5948.6
"Baleia Azul",32,18153,331,15639.7
"Baleia Azul",33,20990,282,13742.6
"Baleia Fin",26,12183,235,7292.9
"Jubarte",19,4534,188,4693.4
"Cachalote",18,4930,156,6864.1
"Baleia Fin",26,8792,269,9507.5
"Cachalote",18,6113,135,6164.8
"Baleia Azul",32,20055,288,15529.8
"Jubarte",19,3448,197,5744.6
"Jubarte",21,4613,171,4180.6
"Baleia Azul",35,22878,NA,15035.2
"Jubarte",17,4421,182,5053
"Cachalote",20,4911,142,6263.7
"Jubarte",18,3938,165,5788.1
"Jubarte",18,3284,185,4481
"Baleia Azul",33,20900,263,14105.9
"Cachalote",17,6525,152,7902
"Baleia Fin",27,NA,NA,10260.1
"Baleia Azul",31,20978,279,15196.2
"Baleia Azul",30,20277,335,12630.1
"Jubarte",18,4733,204,4641.9
"Cachalote",22,6447,135,5848.3
"Baleia Fin",23,11877,231,8416.4
"Baleia Azul",28,20910,333,12986.9
"Baleia Azul",31,20051,314,15332.9
"Cachalote",21,6467,162,5572.3
"Cachalote",20,6645,122,7414.2
"Jubarte",17,3767,192,4962.9
"Jubarte",19,3793,182,5402.2
"Cachalote",18,NA,137,7000.6
"Baleia Azul",31,19762,315,17684.9
"Baleia Fin",27,12250,237,9845
"Cachalote",19,7746,149,6411.2
"Baleia Azul",30,21671,256,17761.4
"Baleia Fin",26,11617,243,11022.9
"Baleia Fin",25,10150,280,6676.6
"Jubarte",19,4731,198,5190.1
"Baleia Azul",28,20487,253,12923.9
"Cachalote",20,5566,163,6877.5
"Jubarte",18,3733,197,4630.7
"Cachalote",19,5861,152,7458.5
"Cachalote",18,5744,149,5684.1
"Jubarte",19,4375,185,6064.3
"Baleia Fin",24,9713,253,9079.5
"Baleia Azul",32,17437,299,14999.3
"Baleia Azul",28,20984,284,12722.3
"Baleia Azul",24,19836,328,15407.2
"Baleia Fin",24,11281,206,10159.1
"Baleia Fin",24,9727,243,10064.1
"Baleia Azul",32,18211,334,16152
"Baleia Azul",29,19640,279,16716.3
"Baleia Azul",31,21964,295,17551.2
"Cachalote",21,7582,165,7099.6
"Baleia Fin",21,12474,270,8641.7
"Baleia Fin",27,11917,253,10177
"Baleia Azul",29,21471,318,12748.9
"Baleia Fin",24,9119,243,6619.8
"Cachalote",21,6491,111,6506.1
"Baleia Fin",27,10606,263,11897.8
"Cachalote",20,4541,159,7992.9
"Jubarte",22,3566,202,5125.5
"Cachalote",16,6647,136,6643
"Jubarte",19,4194,192,5752.6
"Jubarte",18,4190,202,6093
"Jubarte",17,4487,195,5764.5
"Baleia Fin",25,10673,264,8501.6
